,question,answer
0,Who did the first work generally recognized as AI?,Warren McCulloch and Walter Pitts (1943).
1,What sources was drawn on the formation of the first work generally recognized as AI?,knowledge of the basic physiology and function of neurons in the brain; a formal analysis of propositional logic due to Russell and Whitehead; and Turing's theory of computation.
2,Who created the Hebbian learning rule?,Donald Hebb (1949).
3,When the first neural network is built?,1950.
4,What is the first neural network called?,The SNARC.
5,"""Who introduced the Turing test",machine learning
6,Alan Turing prefer what method on creating human-level Al?,He prefer to develop learning algorithms and then teach the machine rather than by programming its intelligence by hand.
7,Who presented the Logic Theorist (LT)?,Allen Newell and Herbert Simon from Carnegie Tech.
8,What does General Problem Solver (GPS) is designed for?,GPS was designed from the start to imitate human problem-solving protocols.
9,Which model was robably the first program to embody the “thinking humanly” approach?,General Problem Solver (GPS).
10,Who formulate the famous physical symbol system hypothesis?,Allen Newell and Herbert Simon.
11,What does physical symbol system hypothesis states?,a physical symbol system has the necessary and sufficient means for general intelligent action.
12,Who constructed the Geometry Theorem Prover?,Herbert Gelernter (1959).
13,"""Who",on checkers
14,Who defined the high-level language Lisp?,John McCarthy.
15,"""Whatlanguage",in 1958
16,who discovered a complete theorem-proving algorithm for first-order logic in 1965?,J. A. Robinson's
17,Which program in 1963 was able to solve closed-form calculus integration problems typical of MIT's first-year college courses?,James Slagle's Saint program
18,What is the most famous microworld?,The blocks world.
19,What does the perceptron convergence theorem say?,"""The theorem says that the learning algorithm can adjust the connection strengths of a perceptron to match any input data"
20,What does the book Preceptrons (1969) mentioned?,"""Although perceptrons (a simple form of neural network) could be shown to learn anything they were capable of representing"
21,What is the weak methods in 1969?,a general-purpose search mechanism trying to string together elementary reasoning steps to find complete solutions.
22,Why weak methods in 1969 are called weak methods?,They do not scale up to large or difficult problem instances.
23,"""Why is the DENDRAL program powerful","according to its authors?"""
24,Which program is the first successful knowledge-intensive system?,The DENDRAL program.
25,What does knowledge-intensive system mean?,A system that its expertise derived from large numbers of special-purpose rules.
26,What is the content of the Heuristic Programming Project (HPP)?,It is to investigate the extent to which the new methodology of expert systems could be applied to other areas.
27,What function does MYCIN system contribute in?,diagnosing blood infections.
28,What is the major differences between MYCIN and DENDRAL?,"""First"
29,What calculus of uncertainty does MYCIN incorporated?,certainty factors.
30,How is the performance of certainty factors in MYCIN?,It seemed (at the time) to fit well with how doctors assessed the impact of evidence on the diagnosis.
31,Which system is the first successful commercial expert system?,R1.
32,Where does the first successful commercial expert system began operation?,"""The Digital Equipment Corporation (McDermott"
33,What does robust language understanding requires?,general knowledge about the world and a general method for using that knowledge.
34,What does Minsky's idea of frames (1975) implies?,assembling facts about particular object and event types and arranging the types into a large taxonomic hierarchy analogous to a biological taxonomy.
35,What is the content of the “Fifth Generation” project announced by the Japanese government in 1981?,"""A 10-year plan to build massively parallel"
36,"""What caused the """"AI winter""""?""",Many companies fell by the wayside as they failed to deliver on extravagant promises.
37,"""Why",after 1988
38,Who described symbols as the “luminiferous aether of Al”?,Geoff Hinton
39,What does “luminiferous aether of Al” by Geoff Hinton mean?,A reference to the non-existent medium through which many 19th-century physicists believed that electromagnetic waves propagated.
40,How is the connectionist models better suited to the messiness of the real world?,It forms internal concepts in a more fluid and imprecise way.
41,What approach does the brittleness of expert systems led to?,"""It is an approach incorporating probability rather than Boolean logic"
42,What approach dominate the field of speech recognition?,The approach using hidden Markov models (HMMs).
43,What are the characteristics of HMMs in the feild of speech recognition?,"""First"
44,Which year is an important year for the connection between Al and other fields?,1988
45,"""In 1998","what fields does AI connected to?"""
46,Whose research led to a new acceptance of probability and decision theory in Al?,Judea Pearl's (1988).
47,What does Pearl's development of Bayesian networks yielded?,It yielded a rigorous and efficient formalism for representing uncertain knowledge as well as practical algorithms for probabilistic reasoning
48,What major contribution is done by Rich Sutton in 1988?,connecting reinforcement learning to the theory of Markov decision processes (MDPs) developed in the field of operations research.
49,What kind of advances facilitated the big data phenomenon?,Remarkable advances in computing power and the creation of the World Wide Web.
50,Who argued that the improvement in performance obtained from increasing the size of the data set by two or three orders of magnitude outweighs any improvement that can be obtained from tweaking the algorithm?,Banko and Brill (2001)
51,Who developed a clever method for filling in holes in photographs by blending in pixels from similar images?,Hays and Efros (2007).
52,What does the term deep learning refers to?,"""It refers to machine learning using multiple layers of simple"
53,What method do experiments found some success in handwritten digit recognition in the 1990s?,convolutional neural networks.
54,How does deep network contribute to ALPHAGO's victories over the leading human Go players?,representing the evaluation function.
55,What is the mean for Ford (2018) interviews of AI experts in the question of when (if ever) will AI systems achieve human-level performance across a broad variety of tasks?,2099
56,What system does U.S. forces deployed to do automated logistics planning and scheduling for transportation?,""" a Dynamic Analysis and Replanning Tool"
57,What AI system defeated world chess champion Garry Kasparov in 1997?,Deep Blue
58,What AI system defeated the world GO champion Ke Jie?,ALPHAGO
59,What ALPHAZERO can do?,"""It used no input from humans (except for the rules of the game)"
60,"""What does the deep learning model",which won the 2018 Gordon Bell Prize
61,"""Who noted that the “mechanical arts are of ambiguous use","serving as well for hurt as for remedy”?"""
62,"""Where does the statement “mechanical arts are of ambiguous use","serving as well for hurt as for remedy” be noted?"""
63,"""Who suggested that “First solve Al","then use Al to solve everything else.”?"""
64,"""How does United Nations define """"Lethal Autonomous Weapons""""?""","""weapons that can locate"
65,What possible risks we might face on devoloping AI?,"""Lethal Autonomous Weapons"
66,Who reminded that the field of those broader goals and warned that the subfields were in danger of becoming ends in themselves?,Nils Nilsson (1995)
67,Who was motivated to consider the long-term future of Al after seeing Arthur Samuel's checker-playing program learn to beat its creator?,Norbert Wiener
68,What does the Kind Midas problem implies?,"""Midas"
69,What is the definition of agent?,anything that can be viewed as perceiving its environment through sensors and acting upon that environment through actuators.
70,What the word percept refer to?,It refer to the content an agent's sensors are perceiving.
71,What is an agent's percept sequence?,the complete history of everything the agent has ever perceived.
72,"""In general","what does an agent's choice of action at any given instant depend on?"""
73,What can we say mathematically on an agent's behavior?,An agent's behavior is described by the agent function that maps any given percept sequence to an action.
74,How AI is stucked to consequentialism?,We evaluate an agent's behavior by its consequences.
75,How can we capture the desirability related to consequentialism of an AI model?,It can be captured by a performance measure that evaluates any given sequence of environment states.
76,What is the difference on desirability between human and machine?,"""Human measures it from their point of view"
77,Who warns to ensure that “the purpose put into the machine is the purpose which we really desire”?,Norbert Wiener.
78,"""How",better
79,What does the King Midas problem inspire us?,We must accept the possibility that we might put the wrong purpose into the machine.
80,What can the definition of rational depends on?,The performance measure that defines the criterion of success; The agent's prior knowledge of the environment; The actions that the agent can perform; The agent’s percept sequence to date.
81,What is the difference of omniscience from rationality?,An omniscient agent knows the actual outcome of its actions and can act accordingly; but omniscience is impossible in reality.
82,What is the relationship between rationality and perfection?,"""Rationality maximizes expected performance"
83,What information gathering means?,Doing actions in order to modify future percepts.
84,How we will say that an agent lacks autonomy?,An agent relies on the prior knowledge of its designer rather than on its own percepts and learning processes.
85,What does an autonomous rational agent do?,It should learn what it can to compensate for partial or incorrect prior knowledge.
86,What is task environments?,They are essentially the “problems” to which rational agents are the “solutions.”
87,What is PEAS description?,"""Specify the performance measure"
88,What we can do as the range of task environments that might arise in Al is obviously vast?,We can identify a fairly small number of dimensions along which task environments can be categorized.
89,What dimensions we can indentify on task environments?,Fully observable vs. partially observable; single-agent vs. multiagent; deterministic vs. nondeterministic; episodic vs. sequential; static vs. dynamic; discrete vs. continuous; known vs. unknown
90,How can we say a task environment is fully observable?,an agent's sensors give it access to the complete state of the environment at each point in time.
